更新时间,#genre#
2024-11-15 18:24:23,url
📺央视频道,#genre#
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-1,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://www.lebaobei.top:6868/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1,http://139.196.151.191:7986/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://122.9.151.210:5299/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://123.56.129.203:3630/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:3630/rtp/225.1.8.101:8080$北京电信组播源
CCTV-1,http://123.56.129.203:4310/rtp/225.1.8.1:8008$组播源
CCTV-1,http://122.9.151.210:887/rtp/238.255.2.91:5999$组播源
CCTV-1,http://123.56.129.203:2604/rtp/225.1.8.1:8008$组播源
CCTV-1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$组播源
CCTV-1,http://110.177.146.152:888/udp/239.1.1.7:8007$订阅源|1920x1080
CCTV-1,http://1.203.77.72:7788/udp/225.1.8.1:8008$订阅源|1920x1080
CCTV-1,https://api.livednow.org/migu/608807420?sign=gAAAAABnJcJqONXJva4TySqKVwkHLHby6Ne_WRDndhTk_GS6KA-nBZI-nPc8RaYfnLJYnZOi1_gpZX90FSquN6BF0XzcOnsBN41Kfi9k-GihR8VqmFvGDaU3-w7RPpKH_jQp1rc5eqRkG97TL1ZanN0d0KISy_vT_x2wMEchVQyRwJVbcr-5Q8MDl1WIvSdo9b0tlPwCujaaYIRxzFT-4iEr-NoUcuO0hw%3D%3D$订阅源|1920x1080
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$订阅源|1920x1080
CCTV-1,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?Contentid=reallive-hdcctv1&channel-id=ystenlive&livemode=1&stbId=3$订阅源
CCTV-1,http://1732e975z9.zicp.fun:8082/hls/1/index.m3u8$订阅源
CCTV-1,http://123.166.61.70:8003/hls/11/index.m3u8$订阅源
CCTV-1,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv1$订阅源
CCTV-1,http://vod.hnqczh.cn:808/hls/9/index.m3u8$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-2,http://139.196.151.191:2051/rtp/239.45.1.109:5140$组播源
CCTV-2,http://139.196.151.191:6846/rtp/239.45.1.109:5140$组播源
CCTV-2,http://139.196.151.191:7986/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://122.9.151.210:5299/rtp/238.255.2.11:5999$贵州电信组播源
CCTV-2,http://123.56.129.203:3630/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:3630/rtp/225.1.8.102:8004$北京电信组播源
CCTV-2,http://123.56.129.203:2604/rtp/225.1.8.2:8084$组播源
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.102:8004$组播源
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.119:5140$组播源
CCTV-2,http://122.9.151.210:887/rtp/238.255.2.11:5999$组播源
CCTV-2,https://livednow.com/migu/631780532?sign=gAAAAABmxHgUnAvEb33tHD9hTm-x8LUM8wdp7UNp8vG_QGzfBRymJcJ-qRZkuO8iC9C4jvmjR4JkCfpD2ahIj6YDLYc7I9zvSFX3TfVl-AEPw3Cr4tW6jEgf_21OyqfRJVr9Ur7eHN66lC0Vkm577g_N_DMJA7tvJB1VXzu8XvvBj9PfMX661WuanhS0hudEg28SveMbwkSCb9figgsldzEbo7jwMQVZ4A%3D%3D$订阅源|1920x1080
CCTV-2,http://58.216.229.130:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://39.98.201.151:9090/udp/225.1.8.2:8084$订阅源
CCTV-2,http://123.166.61.70:8003/hls/12/index.m3u8$订阅源
CCTV-2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://116.117.104.39:8096/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV-2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://139.196.151.191:2051/rtp/239.45.1.68:5140$组播源
CCTV-3,http://139.196.151.191:6846/rtp/239.45.1.68:5140$组播源
